Date,Open,High,Low,Close
27-Nov-13,12146.65,12191.35,12048.65,12135.65
28-Nov-13,12193.2,12253.4,12180.25,12210.7
29-Nov-13,12219.25,12376.5,12219.25,12363.4
2-Dec-13,12060.9,12126.75,11992.05,12094.65
3-Dec-13,11878.95,11912.35,11713.25,11769.05
4-Dec-13,11211.75,11354.1,11172.4,11323.3
6-Dec-13,11827.35,11845.25,11667.25,11718.6
7-Dec-13,11915.45,11956.9,11853.8,11943.5
8-Dec-13,10951.75,11044.3,10859.95,11009.55
9-Dec-13,11249.6,11257.65,10975.05,11045.1
11-Dec-13,11996.4,12050.95,11909.65,11929.35
12-Dec-13,12373.05,12409,12296.75,12309.2
13-Dec-13,12258.25,12294.65,12139.05,12158.25
16-Dec-13,12229.3,12307.6,12229.1,12281.2
17-Dec-13,12345.8,12392.65,12303.55,12314.4
18-Dec-13,12312.9,12506.9,12312.9,12491.45
